01-Jan-2017 06:18,01-Jan-2017 06:18,75.0
01-Jan-2017 06:24,01-Jan-2017 06:24,69.0
01-Jan-2017 06:26,01-Jan-2017 06:26,78.0
01-Jan-2017 06:34,01-Jan-2017 06:34,89.0
01-Jan-2017 07:06,01-Jan-2017 07:06,73.0
01-Jan-2017 07:13,01-Jan-2017 07:13,78.0
01-Jan-2017 07:17,01-Jan-2017 07:17,75.0
01-Jan-2017 07:25,01-Jan-2017 07:25,73.0
01-Jan-2017 07:30,01-Jan-2017 07:30,75.0
01-Jan-2017 07:33,01-Jan-2017 07:33,74.0
01-Jan-2017 07:42,01-Jan-2017 07:42,73.0
01-Jan-2017 07:46,01-Jan-2017 07:46,77.0
01-Jan-2017 07:56,01-Jan-2017 07:56,69.0
01-Jan-2017 08:03,01-Jan-2017 08:03,69.0
01-Jan-2017 08:07,01-Jan-2017 08:07,68.0
01-Jan-2017 08:09,01-Jan-2017 08:09,65.0
01-Jan-2017 08:10,01-Jan-2017 08:10,77.0
01-Jan-2017 08:17,01-Jan-2017 08:17,79.0
01-Jan-2017 08:25,01-Jan-2017 08:25,68.0
01-Jan-2017 08:27,01-Jan-2017 08:27,69.0
01-Jan-2017 08:34,01-Jan-2017 08:34,74.0
01-Jan-2017 08:39,01-Jan-2017 08:39,65.0
01-Jan-2017 08:45,01-Jan-2017 08:45,68.0
01-Jan-2017 08:51,01-Jan-2017 08:51,72.0
01-Jan-2017 08:54,01-Jan-2017 08:54,66.0
01-Jan-2017 09:01,01-Jan-2017 09:01,70.0
01-Jan-2017 09:06,01-Jan-2017 09:06,71.0
01-Jan-2017 09:12,01-Jan-2017 09:12,70.0
01-Jan-2017 09:16,01-Jan-2017 09:16,72.0
01-Jan-2017 09:21,01-Jan-2017 09:21,65.0
01-Jan-2017 09:25,01-Jan-2017 09:25,69.0
01-Jan-2017 09:30,01-Jan-2017 09:30,69.0
01-Jan-2017 09:35,01-Jan-2017 09:35,81.0
01-Jan-2017 09:38,01-Jan-2017 09:38,63.0
01-Jan-2017 09:44,01-Jan-2017 09:44,70.0
01-Jan-2017 09:51,01-Jan-2017 09:51,71.0
01-Jan-2017 09:53,01-Jan-2017 09:53,69.0
01-Jan-2017 09:58,01-Jan-2017 09:58,67.0
01-Jan-2017 10:04,01-Jan-2017 10:04,83.0
01-Jan-2017 10:12,01-Jan-2017 10:12,72.0
01-Jan-2017 10:15,01-Jan-2017 10:15,71.0
01-Jan-2017 10:17,01-Jan-2017 10:17,72.0
01-Jan-2017 10:27,01-Jan-2017 10:27,74.0
01-Jan-2017 10:31,01-Jan-2017 10:31,78.0
01-Jan-2017 10:34,01-Jan-2017 10:34,76.0
01-Jan-2017 10:39,01-Jan-2017 10:39,72.0
01-Jan-2017 10:52,01-Jan-2017 10:52,79.0
01-Jan-2017 10:54,01-Jan-2017 10:54,82.0
01-Jan-2017 10:57,01-Jan-2017 10:57,73.0
01-Jan-2017 11:07,01-Jan-2017 11:07,73.0
01-Jan-2017 11:13,01-Jan-2017 11:13,74.0
01-Jan-2017 11:14,01-Jan-2017 11:14,69.0
01-Jan-2017 11:19,01-Jan-2017 11:19,71.0
01-Jan-2017 11:26,01-Jan-2017 11:26,74.0
01-Jan-2017 11:28,01-Jan-2017 11:28,79.0
